DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	P6008	P6007	P6007S1	FEX_P
366806400	234	1	2	2		1583.81984895719
366851520	234	1	6	2		1896.80094695851
366785760	234	1	5	2		1634.75064029784
366847200	234	1	3	2		2504.53949921816
366893760	234	1	1			3033.3109069988
366964200	234	1	2	2		1358.44349442952
366925800	234	1	5	2		651.481401828206
366864840	234	1	4	2		1671.7625849001
366920760	234	1	5	2		682.579257120803
366851880	234	1	1			1016.27497720468
366778440	234	1	4	2		1505.65491330926
366822120	234	1	3	2		1335.56841494077
366958560	234	1	7	1	1	92.6862511328837
366903600	234	1	1			1216.82372574532
366809040	234	1	2	2		1621.10199785705
366805440	234	1	4	2		1590.40627014748
366939720	234	1	4	2		831.626264207435
366787320	234	1	1			1352.75968818198
366805320	234	1	5	2		1624.84748667794
366931200	234	1	2	2		1438.18232917946
366798720	234	1	5	2		1801.90655311187
366917520	234	1	2	1	1	1438.2869347184
366821400	234	1	4	2		1486.41708888539
366854040	234	1	3	2		2195.72895948759
366956760	234	1	4	2		139.932314137408
366853680	234	1	2	2		2130.22726797292
366790320	234	1	5	2		1751.51854317626
366798360	234	1	5	2		1394.12207790313
366891000	234	1	2	2		2181.5963042595
366940680	234	1	4	2		1236.31211975586
366835200	234	1	4	2		1019.31598245444
367114320	234	1	3	2		688.311683137932
367056960	234	1	3	2		1461.88273986726
367050240	234	1	4	2		1582.27431748069
367114080	234	1	3	2		662.407066971546
367114800	234	1	5	2		683.235285722856
366859680	234	2	4	2		1983.20948659262
366799920	234	1	1			1707.3717182638
366905520	234	1	3	2		991.970623957526
366905520	234	2	3	2		991.970623957526
366854640	234	1	2	2		2504.53949921816
366936120	234	1	3	2		1438.18232917946
366962280	234	1	4	1	1	2005.15160017457
366834360	234	1	5	2		2669.71734541801
366834360	234	2	2	2		2669.71734541801
366803760	234	1	4	2		1496.94022155943
366970440	234	1	4	2		135.496833554791
366800280	234	1	3	2		1693.22441380379
366959040	234	1	10	2		1623.89449558849
366961320	234	1	4	2		234.801817311472
366810240	234	1	1			1746.95021519888
366872400	234	1	1			935.540307588327
366900720	234	1	2	2		1244.02637447985
366801960	234	1	2	2		1536.63454643742
366893520	234	1	6	2		4202.30390336275
366777360	234	1	2	2		1926.57057451356
366786240	234	1	1			1597.21162532469
366886920	234	1	1			1157.53736676115
366852840	234	1	6	2		2206.13304778933
366840600	234	1	3	2		1119.6627619499
366804840	234	1	2	2		1583.81984895719
366906840	234	1	1			1114.70637717851
366964080	234	1	4	2		234.801817311472
366810480	234	1	3	2		1583.81984895719
366940440	234	1	2	2		1240.09973331024
366939360	234	1	6	2		907.402293564015
366943920	234	1	6	2		1274.92543790984
366864120	234	1	6	2		1300.94380487873
366778320	234	1	2	2		1595.58503796575
366937200	234	1	3	2		648.396002024292
366923160	234	1	3	2		693.189015984503
366906000	234	1	2	2		924.825238530298
366810720	234	1	4	2		1528.18700782065
366821280	234	1	4	2		1058.76723552524
366858720	234	1	3	2		2444.69125930758
366913320	234	1	1			1255.38999695724
366890880	234	1	2	2		3946.42781276315
366790560	234	1	2	2		1406.03205964599
366939480	234	1	6	2		1081.57244707211
366984480	234	1	7	2		1568.32124091668
367012320	234	1	5	2		1050.22998266736
366996840	234	1	4	2		1248.33399863719
367037040	234	1	1			151.922775342634
366990240	234	1	2	2		2156.14364545175
366986040	234	1	2	2		1335.56841494077
367022400	234	1	3	2		177.894193536421
366996720	234	1	5	2		1303.61259853552
367040640	234	1	3	2		142.41018588059
367021320	234	1	4	2		181.339500801697
366984840	234	1	2	2		1207.1654498054
367002480	234	1	3	2		2183.32383201897
367010160	234	1	2	2		493.584506359864
367004040	234	1	1			1340.71388712567
366998520	234	1	5	2		1275.27482508128
367004880	234	1	5	2		637.389588482668
367003200	234	1	3	2		1437.06783551483
366989280	234	1	2	2		1648.19091127346
367031160	234	1	5	2		192.253840003023
367033200	234	1	1			198.035613786687
367010760	234	1	3	2		829.071244725567
367008480	234	1	2	2		870.232549976883
367031880	234	1	6	2		179.853911891073
367382520	234	1	4	2		1261.0496618827
367336560	234	1	2	2		916.814713883018
367327560	234	1	1			1018.48189042466
367327320	234	1	6	2		1718.23629196641
367327320	234	2	2	2		1718.23629196641
367285320	234	1	4	2		1649.78460010491
367336080	234	1	1			2202.34588903984
367343400	234	1	1			2111.27262428638
367272360	234	1	1			1150.79958586397
367380600	234	1	5	2		810.226540928694
367277280	234	1	3	2		1142.53098461829
367334880	234	1	2	2		413.791195393646
367334880	234	2	1			413.791195393646
367334880	234	3	1			413.791195393646
367273560	234	1	5	2		1310.87822343593
367388280	234	1	3	2		184.997603398709
367344240	234	1	4	2		611.823581638315
367344720	234	1	5	2		1036.14723725568
367307280	234	1	3	2		1481.00170530088
367287840	234	1	3	2		2387.63475567215
367363200	234	1	1			728.550815090608
367312200	234	1	5	2		957.782281550113
367312200	234	2	3	2		957.782281550113
367341360	234	1	3	2		1031.41655311839
367348560	234	1	6	2		1212.96911419136
367301760	234	1	2	2		1628.93970844205
367295040	234	1	1			1627.25966265606
367272240	234	1	4	2		1392.0718887293
367383840	234	1	7	2		1293.2872948958
367255080	234	1	3	2		1540.38003525831
367267440	234	1	3	2		969.562465069739
367258440	234	1	4	2		1871.26304052631
367253040	234	1	10	2		1734.89462625495
367253040	234	2	5	2		1734.89462625495
367263360	234	1	6	2		9148.95889130131
367261320	234	1	3	2		4720.29811149175
367255920	234	1	4	2		1481.00170530088
367265760	234	1	3	2		762.441706839381
367260000	234	1	1			1093.88111258411
367265280	234	1	6	2		1150.37340383342
367271160	234	1	2	2		857.577176323941
367254480	234	1	4	2		1078.45036596475
367254240	234	1	3	2		1075.14569638707
367256520	234	1	3	2		1267.48570784575
367269600	234	1	2	2		1415.47085598262
367257360	234	1	5	2		1102.58223791332
366973680	234	1	4	2		598.13664773826
367259880	234	1	4	2		1528.18700782065
367264200	234	1	7	2		1147.10195038396
367256280	234	1	5	2		1256.28329945478
367256880	234	1	4	2		1486.00300277089
367269000	234	1	4	2		1381.6126286569
367254120	234	1	4	2		1099.13256010841
367253160	234	1	2	2		1483.06770245274
367260240	234	1	2	2		1044.20287106261
367252800	234	1	3	2		1707.53594807234
367266360	234	1	2	2		673.527634556073
367304880	234	1	4	2		1693.22441380379
367332600	234	1	6	2		773.760519659341
367299000	234	1	4	2		1481.00170530088
367278600	234	1	4	2		771.278348067424
367347360	234	1	4	2		1014.06742975636
367357080	234	1	4	2		563.868895382238
367276680	234	1	3	2		1230.83890464995
367316040	234	1	6	2		1046.73490144122
367276080	234	1	6	2		1266.58091772958
367366680	234	1	7	2		1522.97536270128
367276320	234	1	1			1150.79958586397
367374360	234	1	3	2		1331.10414476848
367316880	234	1	8	2		1045.4407892
367275720	234	1	12	2		1128.74184926346
367377120	234	1	3	2		1098.25758271765
367307160	234	1	4	2		1616.91083185369
367339800	234	1	2	2		859.593159914778
367310040	234	1	1			1627.25966265606
367272960	234	1	8	2		1096.90086445363
367362480	234	1	1			930.780051280256
367362480	234	2	1			930.780051280256
367276920	234	1	5	2		878.314850862423
367353120	234	1	5	2		849.477589911097
367298040	234	1	1			1817.37648986821
367287480	234	1	2	1	5	1583.81984895719
367275360	234	1	5	2		748.975325923025
367347240	234	1	2	2		1068.79910160464
367010280	234	1	5	2		1016.64807482172
367030440	234	1	5	2		304.168914534422
367000200	234	1	6	2		1233.01656510342
367039920	234	1	6	2		221.980337079772
366990480	234	1	3	2		2282.48807799403
367000560	234	1	4	2		1230.96211856582
366983520	234	1	5	2		1203.97618693232
367039800	234	1	3	1	1	106.768690997635
367030080	234	1	2	2		174.364886161612
367033800	234	1	5	2		97.2561015355914
366982320	234	1	1			135.18282096373
367008360	234	1	4	2		899.738784995522
367005960	234	1	3	2		819.935575986942
366992040	234	1	3	2		1765.60939730473
367021560	234	1	4	2		166.850870287979
367026840	234	1	4	2		195.483815564219
367038480	234	1	3	2		169.194767228731
367038120	234	1	9	1	3	131.061352972174
367026720	234	1	5	2		212.02750497769
367396920	234	1	7	2		3434.89565281431
367397520	234	1	5	2		708.913076095827
367264800	234	1	1			791.734320503124
367255560	234	1	4	2		1234.70957913222
367265640	234	1	5	2		1222.63676101491
367263480	234	1	3	2		5889.45746532317
367259640	234	1	6	2		1033.58358144944
367258200	234	1	3	2		1337.89830173576
367258200	234	2	3	2		1337.89830173576
367265880	234	1	4	2		1058.47653735305
367260360	234	1	3	2		1300.25855779119
367267320	234	1	3	2		1150.37340383342
367270320	234	1	1			1515.83736769054
367267080	234	1	3	2		1239.28747611672
367262040	234	1	3	2		5522.03902304625
367263840	234	1	3	2		969.562465069739
367266000	234	1	3	2		1150.37340383342
367261680	234	1	4	1	1	3974.25510073943
367270680	234	1	1			718.313907037612
367268880	234	1	5	2		1883.71675937485
367253760	234	1	4	2		1694.35684614327
367266960	234	1	5	2		1372.51425491549
367253880	234	1	8	2		1334.61014058065
367267200	234	1	3	2		1032.16671788637
367265040	234	1	5	2		1155.42730793487
367259040	234	1	2	2		1267.48570784575
367262160	234	1	4	2		3746.31630874128
367257600	234	1	2	2		1283.28150942679
367263120	234	1	3	2		5522.03902304625
367257720	234	1	3	2		1346.7035645861
367266720	234	1	7	2		1151.08588737332
367255440	234	1	4	2		1289.23851490383
367316640	234	1	5	2		1027.2453811944
367370280	234	1	3	2		2410.17673869128
367284600	234	1	6	2		1591.31082659897
367380720	234	1	1			1244.91199574252
367301160	234	1	4	2		1731.88945939427
367275840	234	1	1			945.09082812735
367308480	234	1	4	2		1848.47250500721
367353720	234	1	6	2		1231.9870107976
367385160	234	1	7	2		155.265818525319
367291200	234	1	4	2		1631.00515147695
367296840	234	1	1			1893.10051027939
367379040	234	1	5	2		1497.46840582117
367302240	234	1	4	2		1786.01100500034
367388760	234	1	2	2		184.997603398709
367300440	234	1	1			1789.98562892167
